,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-1.286570510778685,,Intercept,314.6500903296546,315.0,0.34990967034542564,315.0
1,1,grade:A,1.1555801781585318,2.0515837740663566e-37,grade,89.10009861584768,89.0,-0.10009861584768487,89.0
2,2,grade:B,0.9129331308378681,2.7376732165732894e-51,grade,70.39098932706807,70.0,-0.39098932706806977,70.0
3,3,grade:C,0.7163798752531954,2.2302658162986623e-37,grade,55.235905511276194,55.0,-0.23590551127619364,55.0
4,4,grade:D,0.525329444723071,4.199337292466997e-23,grade,40.50511268307061,41.0,0.49488731692939325,41.0
5,5,grade:E,0.3422653399530853,3.049564454842193e-13,grade,26.39009920644629,26.0,-0.3900992064462905,26.0
6,6,grade:F,0.15220084280613727,0.0018134071450615467,grade,11.73532599447335,12.0,0.26467400552665055,12.0
7,7,home_ownership:OWN,0.0937139618280816,3.283228714435209e-06,home_ownership,7.225741145776513,7.0,-0.22574114577651283,7.0
8,8,home_ownership:MORTGAGE,0.10621771440944765,4.431426941231902e-17,home_ownership,8.189833131019128,8.0,-0.18983313101912813,8.0
9,9,addr_state:NM_VA,0.03609831109112676,0.2594279957476259,addr_state,2.783331817970744,3.0,0.21666818202925597,3.0
10,10,addr_state:NY,0.05779270468857068,0.016986798872270132,addr_state,4.456060933161648,4.0,-0.4560609331616483,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.05982995449737082,0.00972271498938973,addr_state,4.613141473569038,5.0,0.3868585264309621,5.0
12,12,addr_state:CA,0.06394915750601886,0.002537040038226957,addr_state,4.930749374107883,5.0,0.06925062589211706,5.0
13,13,addr_state:UT_KY_AZ_NJ,0.0789835015364871,0.0015137755486420161,addr_state,6.089960617999201,6.0,-0.08996061799920074,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.1369481579470925,1.1511983076913727e-09,addr_state,10.559279753127303,11.0,0.4407202468726972,11.0
15,15,addr_state:RI_MA_DE_SD_IN,0.10165539706842323,0.0006560029522612408,addr_state,7.838059249219038,8.0,0.16194075078096226,8.0
16,16,addr_state:GA_WA_OR,0.18574572327475875,3.2005967976846173e-12,addr_state,14.321777557335794,14.0,-0.3217775573357944,14.0
17,17,addr_state:WI_MT,0.24045624192343762,4.233500252922285e-07,addr_state,18.54018896578478,19.0,0.45981103421522107,19.0
18,18,addr_state:TX,0.2228626756319071,9.250733712681227e-18,addr_state,17.183650907060162,17.0,-0.18365090706016218,17.0
19,19,addr_state:IL_CT,0.26276850957120784,2.2168572246305035e-19,addr_state,20.260558772514695,20.0,-0.2605587725146954,20.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.3209304424526355,2.1849788561435596e-25,addr_state,24.74508875439933,25.0,0.25491124560067036,25.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.5241952955046788,6.875727661621857e-23,addr_state,40.41766500171208,40.0,-0.41766500171208065,40.0
22,22,verification_status:Not Verified,0.08443386776813533,7.090769825341948e-09,verification_status,6.510206809402564,7.0,0.4897931905974362,7.0
23,23,verification_status:Source Verified,-0.01056034580381226,0.4316887479254716,verification_status,-0.8142471377767452,-1.0,-0.18575286222325482,-1.0
24,24,purpose:credit_card,0.30041464544299434,2.0503923053015104e-26,purpose,23.163234399944514,23.0,-0.16323439994451405,23.0
25,25,purpose:debt_consolidation,0.19716844018946805,3.1707814640818466e-14,purpose,15.202517139753489,15.0,-0.20251713975348906,15.0
26,26,purpose:oth__med__vacation,0.21326527800223458,6.7662135465403855e-12,purpose,16.443651129094075,16.0,-0.443651129094075,16.0
27,27,purpose:major_purch__car__home_impr,0.2655455940702318,1.652503955397415e-17,purpose,20.474683683450674,20.0,-0.47468368345067447,20.0
28,28,initial_list_status:w,0.054820257512609015,2.6757708857979145e-05,initial_list_status,4.226872737037841,4.0,-0.22687273703784072,4.0
29,29,term:36,0.07865742174907837,1.8140494171259707e-08,term,6.0648184930615345,6.0,-0.06481849306153453,6.0
30,30,emp_length:1,0.09919924684928362,0.00013021841697878126,emp_length,7.648679722919607,8.0,0.3513202770803927,8.0
31,31,emp_length:2-4,0.1261737612079114,2.2482638405287737e-11,emp_length,9.728528386729598,10.0,0.2714716132704016,10.0
32,32,emp_length:5-6,0.09142862544077755,1.9238518868513836e-05,emp_length,7.049532085316806,7.0,-0.049532085316806196,7.0
33,33,emp_length:7-9,0.06158890122303524,0.003054531403207424,emp_length,4.748763674156161,5.0,0.2512363258438386,5.0
34,34,emp_length:10,0.12533567120190817,1.0353929151696084e-11,emp_length,9.66390811753907,10.0,0.3360918824609307,10.0
35,35,mths_since_issue_d:<38,1.091989005571596,7.312676220208402e-189,mths_since_issue_d,84.19695138670227,84.0,-0.19695138670226697,84.0
36,36,mths_since_issue_d:38-39,0.8906320871127554,1.1591453821209139e-158,mths_since_issue_d,68.6714849320461,69.0,0.3285150679539015,69.0
37,37,mths_since_issue_d:40-41,0.7889185857254907,1.874921700417225e-131,mths_since_issue_d,60.8289455951303,61.0,0.17105440486970025,61.0
38,38,mths_since_issue_d:42-48,0.5871556529427001,4.831158133887906e-94,mths_since_issue_d,45.272173726114175,45.0,-0.27217372611417545,45.0
39,39,mths_since_issue_d:49-52,0.425052554288036,8.0243432715125e-44,mths_since_issue_d,32.773342101050076,33.0,0.22665789894992372,33.0
40,40,mths_since_issue_d:53-64,0.17865794763083523,5.215511451642352e-10,mths_since_issue_d,13.77528020407819,14.0,0.22471979592181057,14.0
41,41,mths_since_issue_d:65-84,-0.060625137577122054,0.03500062944110348,mths_since_issue_d,-4.674453438037303,-5.0,-0.32554656196269693,-5.0
42,42,int_rate:<9.548,0.8674026220711925,3.713716068573617e-30,int_rate,66.88039534335579,67.0,0.11960465664421349,67.0
43,43,int_rate:9.548-12.025,0.5404352094985241,7.711189943026566e-34,int_rate,41.669830767198235,42.0,0.33016923280176513,42.0
44,44,int_rate:12.025-15.74,0.29122957795901716,1.98294677022329e-15,int_rate,22.455027012794865,22.0,-0.455027012794865,22.0
45,45,int_rate:15.74-20.281,0.10311614395999887,0.00036833684686221407,int_rate,7.950688986689601,8.0,0.04931101331039933,8.0
46,46,mths_since_earliest_cr_line:141-164,0.05643943038592682,0.023180108057578756,mths_since_earliest_cr_line,4.3517177849328466,4.0,-0.35171778493284656,4.0
47,47,mths_since_earliest_cr_line:165-247,0.038174627661859285,0.056876262547825206,mths_since_earliest_cr_line,2.9434245702579913,3.0,0.05657542974200869,3.0
48,48,mths_since_earliest_cr_line:248-270,0.08062462750155906,0.0020928168630710738,mths_since_earliest_cr_line,6.216498341726822,6.0,-0.21649834172682159,6.0
49,49,mths_since_earliest_cr_line:271-352,0.12283942140475337,1.4986721048540673e-07,mths_since_earliest_cr_line,9.471436744889953,9.0,-0.471436744889953,9.0
50,50,mths_since_earliest_cr_line:>352,0.1314294627409468,6.94467404249148e-07,mths_since_earliest_cr_line,10.133765110013607,10.0,-0.13376511001360747,10.0
51,51,inq_last_6mths:0,0.6944637484202286,8.175543212053607e-18,inq_last_6mths,53.54607982976742,54.0,0.45392017023257836,54.0
52,52,inq_last_6mths:1-2,0.5473453030151615,1.183436906530924e-11,inq_last_6mths,42.20262808011013,42.0,-0.20262808011013078,42.0
53,53,inq_last_6mths:3-6,0.33663112288825114,3.5643590795565726e-05,inq_last_6mths,25.955677341492024,26.0,0.04432265850797634,26.0
54,54,acc_now_delinq:>=1,0.23545111283756315,0.023263329349202645,acc_now_delinq,18.15427243349611,18.0,-0.15427243349611075,18.0
55,55,annual_inc:20K-30K,-0.06893977288656969,0.0994626841064881,annual_inc,-5.315546838589697,-5.0,0.3155468385896967,-5.0
56,56,annual_inc:30K-40K,-0.005533580792446791,0.8904972966005849,annual_inc,-0.4266623845101384,-0.0,0.4266623845101384,-0.0
57,57,annual_inc:40K-50K,0.08931010087368278,0.02606780052483415,annual_inc,6.886184918745432,7.0,0.11381508125456818,7.0
58,58,annual_inc:50K-60K,0.15633511067542974,0.00012077642741672247,annual_inc,12.05409545921555,12.0,-0.05409545921554937,12.0
59,59,annual_inc:60K-70K,0.23173580739330218,2.5525344577996922e-08,annual_inc,17.867806736239896,18.0,0.13219326376010443,18.0
60,60,annual_inc:70K-80K,0.3062459569058865,5.400312237213314e-13,annual_inc,23.612853073078366,24.0,0.3871469269216341,24.0
61,61,annual_inc:80K-90K,0.38030927712845486,7.970588864680308e-18,annual_inc,29.323446989775537,29.0,-0.32344698977553676,29.0
62,62,annual_inc:90K-100K,0.4007616244424151,2.1663754152625248e-18,annual_inc,30.900409105466505,31.0,0.09959089453349534,31.0
63,63,annual_inc:100K-120K,0.47939170904269235,4.9822069883610743e-26,annual_inc,36.96311978922142,37.0,0.03688021077857684,37.0
64,64,annual_inc:120K-140K,0.5770409488028418,7.348040368981738e-29,annual_inc,44.4922874375075,44.0,-0.4922874375074997,44.0
65,65,annual_inc:>140K,0.505299356344208,1.3485095430174779e-26,annual_inc,38.96070850967538,39.0,0.0392914903246222,39.0
66,66,dti:<=1.4,0.25254073968014074,0.0023303419320655086,dti,19.47195463829835,19.0,-0.4719546382983495,19.0
67,67,dti:1.4-3.5,0.37149335812185474,8.818165431548492e-08,dti,28.643702504949633,29.0,0.35629749505036656,29.0
68,68,dti:3.5-7.7,0.3892155187919313,6.680465147940163e-11,dti,30.010155731852503,30.0,-0.01015573185250318,30.0
69,69,dti:7.7-10.5,0.32462745838538914,4.308136837408517e-08,dti,25.030144253289617,25.0,-0.030144253289616785,25.0
70,70,dti:10.5-16.1,0.24525272828388608,1.8258781421951092e-05,dti,18.91001826521648,19.0,0.089981734783521,19.0
71,71,dti:16.1-20.3,0.1439072391066841,0.012075735102354592,dti,11.095854219628958,11.0,-0.09585421962895779,11.0
72,72,dti:20.3-21.7,0.13274166038937724,0.027112102816792407,dti,10.234941075202755,10.0,-0.2349410752027552,10.0
73,73,dti:21.7-22.4,0.09749213816656775,0.128900740150225,dti,7.5170544537666375,8.0,0.4829455462333625,8.0
74,74,dti:22.4-35,0.05460570265646125,0.3354221084705974,dti,4.210329654002496,4.0,-0.21032965400249637,4.0
75,75,mths_since_last_delinq:Missing,0.16752595833519693,0.00039952140779433114,mths_since_last_delinq,12.916956945528957,13.0,0.08304305447104277,13.0
76,76,mths_since_last_delinq:4-30,0.19226609437402076,6.769097968305585e-05,mths_since_last_delinq,14.824525630500188,15.0,0.17547436949981154,15.0
77,77,mths_since_last_delinq:31-56,0.23903301717906097,1.034801528818001e-06,mths_since_last_delinq,18.430452343892778,18.0,-0.4304523438927781,16.0
78,78,mths_since_last_delinq:>=57,0.1917720842776512,0.0001379862385614027,mths_since_last_delinq,14.786435371480778,15.0,0.2135646285192223,15.0
79,79,mths_since_last_record:Missing,0.10272557789766926,2.757453702968854e-06,mths_since_last_record,7.9205746983630005,8.0,0.07942530163699946,8.0
80,80,mths_since_last_record:3-20,0.2128150554657331,0.0235841884788355,mths_since_last_record,16.408937075357635,16.0,-0.4089370753576347,16.0
81,81,mths_since_last_record:21-31,0.13571762295790119,0.09164504897608673,mths_since_last_record,10.464400322898658,10.0,-0.4644003228986584,10.0
82,82,mths_since_last_record:32-80,0.2866807404005589,1.2502431270841625e-18,mths_since_last_record,22.10429247900252,22.0,-0.10429247900252037,22.0
83,83,mths_since_last_record:81-86,-0.04987850642383917,0.4454971678998627,mths_since_last_record,-3.8458429152508136,-4.0,-0.15415708474918643,-4.0
84,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
85,1,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
86,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,0.0,0.0,0.0,0.0
87,3,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
88,4,purpose:educ__sm_b__wedd__ren_en__mov__house,0.0,,purpose,0.0,0.0,0.0,0.0
89,5,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
90,6,term:60,0.0,,term,0.0,0.0,0.0,0.0
91,7,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0
92,8,mths_since_issue_d:>84,0.0,,mths_since_issue_d,0.0,0.0,0.0,0.0
93,9,int_rate:>20.281,0.0,,int_rate,0.0,0.0,0.0,0.0
94,10,mths_since_earliest_cr_line:<140,0.0,,mths_since_earliest_cr_line,0.0,0.0,0.0,0.0
95,11,inq_last_6mths:>6,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0
96,12,acc_now_delinq:0,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0
97,13,annual_inc:<20K,0.0,,annual_inc,0.0,0.0,0.0,0.0
98,14,dti:>35,0.0,,dti,0.0,0.0,0.0,0.0
99,15,mths_since_last_delinq:0-3,0.0,,mths_since_last_delinq,0.0,0.0,0.0,0.0
100,16,mths_since_last_record:0-2,0.0,,mths_since_last_record,0.0,0.0,0.0,0.0
